anglais,English,J'apprends l'anglais à l'école.
serrer,to tighten / to squeeze,Il a dû serrer le couvercle pour qu'il ne se décolle pas.
valise,suitcase,J'ai mis tous mes vêtements dans ma valise pour le voyage.
justice,justice,La justice est essentielle pour maintenir l'ordre dans la société.
défense,defense,La défense de l'équipe a été solide tout au long du match.
arrêt,stop,Nous avons fait un arrêt pour manger avant de continuer notre voyage.
coupable,guilty,Le jury a déclaré l'accusé coupable du crime.
niveau,level,Il est important d'atteindre un niveau élevé dans ses études.
entraîner,to train or to lead,Il a décidé d'entraîner l'équipe de football pour le championnat.
bus,bus,Je prends le bus chaque matin pour aller au travail.
mienne,mine,"C'est ma voiture, mais celle-ci est mienne."
nerveux,nervous,Il se sent nerveux avant de passer l'examen.
nord,north,"En été, les oiseaux migrent vers le nord pour échapper au froid."
crise,crisis,La crise économique a eu un impact profond sur la vie de nombreuses personnes.
connard,"jerk (or asshole, depending on context)","Cet homme est un vrai connard, il a insulté tout le monde."
moindre,lesser,Il n'y a pas de moindre importance à ce détail.
tableau,board,J'ai accroché un nouveau tableau dans ma salle de classe.
piquer,to sting / to poke,Il a décidé de piquer une petite sieste cet après-midi.
admettre,admit,Elle a dû admettre qu'elle avait fait une erreur.
restaurant,restaurant,J'aime dîner au nouveau restaurant en ville.
trésor,treasure,Le pirate a caché son trésor sur une île déserte.
nu,naked,"Elle se tenait là, nue sous la lumière du matin."
produire,to produce,Les agriculteurs doivent produire des aliments de qualité pour nourrir la population.
tombe,tomb,La tombe de ce roi est située dans un beau monument.
poche,pocket,J'ai mis mon téléphone dans ma poche.
menacer,to threaten,Il a décidé de menacer son rival pour obtenir ce qu'il voulait.
couple,couple,Ce couple se promène main dans la main dans le parc.
gâcher,to waste,Ne gâche pas ta chance de réussir dans la vie.
odeur,smell,L'odeur des fleurs embaumait le jardin.
vu,seen,J'ai vu un film incroyable hier soir.
souci,concern,J'ai un souci concernant mon projet de travail.
lorsque,when,Je vais au cinéma lorsque j'ai du temps libre.
concerner,to concern,Cette question concerne tous les membres de l'équipe.
énorme,enormous,Ce château est énorme et magnifique.
programme,program,J'ai téléchargé un nouveau programme pour apprendre à coder.
allemand,German,J'apprends l'allemand à l'école cette année.
toit,roof,Le toit de la maison est en tuiles rouges.
bravo,well done,Bravo pour votre excellent travail !
représenter,represent,Ce tableau représente la beauté de la nature.
bénir,bless,Le prêtre va bénir les enfants lors de la cérémonie.
telle,such,Elle a une telle passion pour la musique qu'elle joue tous les jours.
rapide,fast,Ce véhicule est très rapide sur l'autoroute.
fusil,rifle,Le chasse a pris son fusil avant de partir dans les bois.
enceinte,pregnant,Elle est enceinte de trois mois.
repas,meal,Nous avons préparé un délicieux repas pour toute la famille.
certaines,certain,Certaines personnes préfèrent travailler en silence.
montre,watch,J'ai acheté une nouvelle montre pour mon anniversaire.
fantôme,ghost,La légende raconte qu'un fantôme hante ce vieux château.
endormir,to lull to sleep,La douce berceuse a réussi à endormir le bébé.
plage,beach,J'adore passer mes vacances à la plage.
entrée,entry,L'entrée du musée est gratuite le premier dimanche de chaque mois.
louer,to rent,Je vais louer un appartement dans le centre-ville.
mine,my,C'est ma voiture préférée.
hasard,chance,"Parfois, le hasard peut nous mener à des rencontres inattendues."
soigner,to care for / to heal,Le médecin doit soigner ses patients avec attention.
chasse,hunt,La chasse aux cerfs commence en octobre.
organiser,to organize,Nous devons organiser une réunion pour discuter du projet.
sortie,exit,Nous avons trouvé la sortie du bâtiment après le film.
examen,exam,J'ai étudié toute la nuit pour l'examen de mathématiques.
cadavre,corpse,Le détective a trouvé un cadavre dans la forêt.
vache,cow,La vache mange de l'herbe dans le champ.
ranger,to tidy up,Je dois ranger ma chambre avant de sortir.
passe,pass,"Je vais te passer le sel, veux-tu?"
couler,to flow / to sink,L'eau commence à couler dans la rivière après les pluies.
rigoler,to laugh,Nous avons rigolé toute la soirée en racontant des histoires drôles.
commettre,to commit,Il a décidé de ne jamais commettre d'erreur dans son travail.
in,in,Le chat est dans la maison.
sol,ground,Les enfants jouent sur le sol du parc.
volonté,will,Elle a une grande volonté de réussir dans la vie.
public,public,Le parc est ouvert au public tous les jours.
quelles,which,Quelles sont tes couleurs préférées ?
ventre,belly,J'ai mal au ventre après avoir trop mangé.
trahir,betray,Il a décidé de trahir la confiance de ses amis.
condition,condition,La condition physique est essentielle pour maintenir une bonne santé.
débrouiller,to manage/to sort out,Il a appris à se débrouiller seul dans la vie.
shérif,sheriff,Le shérif de la ville a résolu de nombreux cas difficiles.
fâcher,to anger,Il ne faut pas fâcher les enfants avec des paroles blessantes.
parti,party,Nous avons organisé un parti pour célébrer son anniversaire.
lui-même,himself,Il a fait le travail lui-même sans aucune aide.
samedi,Saturday,J'ai un rendez-vous important ce samedi.
malgré,despite,"Malgré la pluie, nous avons décidé de faire une promenade."
étage,floor,Nous habitons au troisième étage de cet immeuble.
source,source,La source de cette rivière est située dans les montagnes.
frais,fresh,Les fruits et légumes du marché sont toujours très frais.
attacher,to attach,Je vais attacher le document au courriel.
joindre,to join,Je vais le joindre à la réunion pour discuter du projet.
horreur,horror,Le film était tellement effrayant qu'il m'a laissé un sentiment d'horreur.
sexuel,sexual,Ce livre aborde des thèmes sexuel importants dans la société moderne.
pluie,rain,La pluie tombe doucement sur les toits.
responsable,responsible,Elle est responsable de l'organisation de l'événement.
celui-ci,this one,Celui-ci est mon livre préféré.
objet,object,Cet objet est très ancien et a une grande valeur historique.
finalement,finally,"Finalement, nous avons trouvé une solution à ce problème."
toi-même,yourself,Tu dois croire en toi-même pour réussir.
presse,press,La presse joue un rôle important dans la diffusion de l'information.
siècle,century,Le vingt-et-unième siècle a apporté de nombreux changements technologiques.
voyager,to travel,J'aime voyager pendant les vacances d'été.
larme,tear,Une larme coula sur sa joue lors du film émouvant.
mlle,Miss,Mlle Dupont est ma professeure de français.
ombre,shadow,L'ombre de l'arbre est très rafraîchissante en été.
nommer,to name,Il a décidé de nommer son fils après son grand-père.
rat,rat,Le rat a été aperçu dans la cuisine la nuit dernière.
