poste,job,Il occupe un poste important dans l'entreprise.
compris,Understood,Je l'ai compris dès la première explication.
anniversaire,birthday,Je fête mon anniversaire avec ma famille.
signe,sign,Le signe sur la porte indique que le magasin est fermé.
vol,flight,Le vol de Paris à New York a été retardé.
couleur,color,La couleur de ce tableau est vibrante.
image,image,J'ai trouvé une image fascinante dans le magazine.
parier,to bet,Je parie que tu auras raison.
est,is,Vous êtes toujours à l'heure.
arbre,tree,Cet arbre apporte de l'ombre pendant l'été.
bière,beer,J'aime bien déguster une bière fraîche pendant l'été.
mme,Mrs.,Mme Dupont part en vacances demain.
poisson,fish,Je mange du poisson frais au déjeuner.
selon,according to,"Selon moi, cette décision est la meilleure."
a,has,J'ai un chat.
intérêt,interest,J'ai un grand intérêt pour la littérature moderne.
lieutenant,lieutenant,Le lieutenant a dirigé l'opération avec détermination.
danger,danger,Le danger peut surgir à tout moment.
appartenir,to belong,J'appartiens à ce groupe d'amis.
remarquer,to notice,Je remarque que tu as fait un excellent travail.
animal,animal,L'animal se repose tranquillement sous un arbre.
rater,to miss,Je rate souvent mon bus quand je me réveille en retard.
retirer,remove,Je retire mes chaussures avant d'entrer dans la maison.
bord,edge,Je me suis assis au bord de la mer.
tenter,to try,Je tente de finir ce projet avant la date limite.
liberté,Freedom,La liberté d'expression est un pilier de notre société.
règle,rule,Il faut toujours respecter la règle en classe.
banque,bank,Je vais à la banque pour déposer de l'argent.
merveilleux,Marvelous,Je trouve ce cadeau vraiment merveilleux.
fier,proud,Je suis fier d'avoir accompli ce défi.
partager,to share,Je partage mes idées avec mes collègues.
classe,class,La classe commence à 8 heures du matin.
dossier,file,J'ai rangé le dossier sur mon bureau.
ressentir,to feel,Je ressens une profonde joie lorsque je retrouve mes amis.
bonheur,happiness,Le bonheur est essentiel pour vivre pleinement.
défendre,defend,Je défends mes convictions avec passion.
but,goal,Mon but est de réussir mes études.
bande,band,Je fais partie d'une bande d'amis qui se retrouvent chaque semaine pour discuter et rire ensemble.
l,the,L'éléphant est un animal majestueux.
fatiguer,to tire,Je fatigue mes collègues en posant toujours trop de questions.
radio,radio,J'écoute la radio tous les matins.
prévoir,to foresee,Je prévois de visiter mes amis ce week-end.
celui-là,That one,Je choisis celui-là parmi tous les autres.
haut,high,Le sommet de la montagne est très haut.
camarade,comrade,Mon camarade de classe est toujours prêt à aider ses amis.
douter,to doubt,Je doute qu'il puisse finir le projet à temps.
oiseau,bird,L'oiseau chante dans le jardin.
vent,wind,Le vent souffle fort ce soir.
recherche,research,La recherche scientifique a conduit à d'importantes découvertes.
apprécier,appreciate,J'apprécie vraiment cette expérience.
système,system,Le système éducatif français est connu pour son excellence.
ferme,Farm,La ferme de mon oncle produit du fromage délicieux.
capable,capable,Je suis capable de relever tous les défis.
fuir,to flee,Je fuis le danger.
ennui,boredom,Le film était tellement long qu'il a créé un fort ennui chez moi.
tante,Aunt,Ma tante habite à Paris.
héros,hero,Le héros de ce roman se bat pour la justice.
dedans,inside,J'ai laissé mes clés dedans la voiture.
excellent,excellent,Ce film est excellent.
pitié,pity,Il a montré de la pitié envers les sans-abri.
appartement,apartment,Je loue un bel appartement en centre-ville.
bosser,to work,Je bosse tard ce soir pour finir un projet important.
respirer,breathe,Je respire profondément pour me détendre.
entier,entire,Le gâteau entier a été mangé par mes amis.
récupérer,recover,Je récupère mes affaires après le concert.
douleur,pain,J'éprouve une douleur intense après l'exercice.
libérer,to free,Je libère mon esprit du stress quotidien.
sentiment,feeling,J'ai un sentiment de joie lorsque je retrouve mes amis.
grand-père,grandfather,Mon grand-père adore raconter des histoires de son enfance.
société,society,La société moderne se caractérise par une grande diversité culturelle.
lancer,to launch,Je lance la balle vers le panier.
nez,nose,J'ai un nez sensible aux odeurs.
joie,joy,J'éprouve une immense joie lorsque je découvre de nouvelles cultures.
relation,relationship,La relation entre mes amis et moi s'est renforcée au fil des années.
témoin,witness,Le témoin a confirmé l'identité du suspect.
acteur,actor,L'acteur a joué dans une pièce de théâtre hier soir.
moitié,half,La moitié de la tarte a été mangée lors du déjeuner.
incroyable,incredible,Ce film est incroyable.
bain,bath,Je prends un bain chaud après une longue journée.
durer,to last,Je n'ai pas duré longtemps dans cet emploi.
marché,market,Je vais au marché pour acheter des fruits.
laver,wash,Je lave la voiture.
dent,tooth,J'ai mal à la dent.
là-dedans,in there,Je mets mes clés là-dedans.
mademoiselle,Miss,Mademoiselle Dupont attend son bus ce matin.
adresse,address,J'ai mis à jour mon adresse pour recevoir mes colis.
cousin,cousin,Je passe le weekend avec mon cousin.
riche,rich,Marie est très riche et elle partage généreusement.
compagnie,company,Je travaille dans une grande compagnie.
sonner,to ring,Je sonne à la porte.
chaussure,shoe,J'ai acheté une nouvelle chaussure pour aller courir.
oreille,ear,Je me suis fait mal à l'oreille pendant le concert.
grand-mère,grandmother,Ma grand-mère adore raconter des histoires de son enfance.
ancien,former,Mon ancien patron m'a recommandé pour ce poste.
art,art,L'art moderne ouvre de nouvelles perspectives culturelles.
deviner,to guess,Je devine que tu sais la réponse.
inutile,useless,Ce conseil est inutile pour moi.
ravir,to delight,Vous ravissez toujours vos invités avec votre sourire.
blague,joke,Je raconte souvent une blague pour faire rire mes amis.
avenir,future,L'avenir est prometteur.
beauté,beauty,La beauté de ce tableau inspire tous ceux qui le contemplent.
