mince,darn,"Mince, je suis en retard."
réchauffer,to reheat,Je réchauffe la soupe dans le micro-ondes avant de la servir.
boucher,to block,Je bouche l'évier avec un bouchon pour éviter que l'eau ne s'échappe.
panique,panic,"Lors de l'incendie, une véritable panique s'est emparée des habitants."
sympathique,Nice,Je trouve que tu es vraiment sympathique aujourd'hui.
invisible,invisible,"Dans le brouillard épais, la silhouette de la voiture devenait presque invisible."
procédure,procedure,La procédure d'inscription est très simple.
tricher,to cheat,Je triche parfois pendant les examens.
confondre,to confuse,Je confonds souvent la réalité et la fiction dans mes livres.
excitant,Exciting,Je trouve ce film excitant.
remède,remedy,Ce remède naturel aide à soulager les symptômes du rhume.
agneau,Lamb,Le petit agneau court joyeusement dans le pré.
marrer,to laugh,Je me marre en écoutant cette blague.
témoignage,testimony,Le témoignage de la victime a permis d'éclairer l'enquête.
cité,City,La cité médiévale de Carcassonne attire de nombreux touristes chaque année.
pose,put,Je pose mes clés sur la table.
affecter,to assign,J'affecte les tâches ménagères équitablement entre les membres de la famille.
par-dessus,over,Je regarde par-dessus le mur.
ô,O,"Ô joie, je célèbre cet instant précieux."
confesser,confess,Je confesse mes erreurs.
damoiseau,squire,Le damoiseau a accompagné le chevalier sur le champ de bataille.
négatif,negative,Le résultat du test était négatif.
carton,cardboard,J'ai emballé les cadeaux dans un grand carton pour le déménagement.
humilier,to humiliate,Je ne veux jamais humilier mes collègues devant tout le monde.
septembre,September,"En septembre, je visite souvent le musée local pour découvrir la nouvelle exposition."
distraire,to entertain,Je distrais mes amis avec des histoires captivantes.
tabac,Tobacco,Le tabac est dangereux pour la santé.
exception,exception,Cette nouvelle politique inclut une exception pour les cas particuliers.
fonder,to found,Je fonde une nouvelle entreprise.
rage,anger,Je ressens parfois une rage incontrôlable face à l'injustice.
dégoûtant,disgusting,Ce film est vraiment dégoûtant.
chevalier,knight,Le chevalier a défendu le royaume avec bravoure.
impressionnant,impressive,Je trouve ce monument vraiment impressionnant.
cuisinier,cook,Le cuisinier prépare un délicieux repas.
fragile,fragile,Cette porcelaine est très fragile.
saucisse,sausage,J'ai acheté une saucisse délicieuse lors de mon passage au marché.
tremper,to soak,Je trempe mon pain dans le bouillon.
grève,strike,La grève a paralysé le service de métro ce matin.
tendresse,tenderness,La tendresse qu'il éprouve pour sa famille est évidente dans chacun de ses gestes.
trait,trait,Son sourire est l'un de ses traits les plus charmants.
ravissant,delightful,Ce jardin est ravissant au printemps.
abîmer,to damage,Je prends soin de ne pas abîmer mon ordinateur.
applaudir,to applaud,Je applaudis chaleureusement à la fin du concert.
photographe,Photographer,Le photographe a capturé des images incroyables lors de l'exposition.
are,are (a unit of area equal to 100 square meters),La maison a un jardin de vingt ares.
lecture,reading,La lecture me transporte dans d'autres mondes.
offenser,to offend,Je ne veux pas offenser personne avec mes paroles.
accélérer,accelerate,J'accélère dès que le feu passe au vert.
intime,intimate,Notre conversation était très intime.
pars,I leave,Je pars en vacances demain.
congrès,congress,J'assiste au congrès annuel des chercheurs internationaux.
percer,to pierce,Je perce le mur pour installer une fenêtre.
