détester,hate,Je déteste les brocolis.
clair,clear,Le ciel est clair ce matin.
con,idiot,Ce gars-là est un con.
faux,false,Le résultat est faux.
paraître,to appear,Je parais un peu timide lors des premières rencontres.
balle,ball,Le chien court après la balle.
empêcher,to prevent,J'empêche mes enfants de regarder des films violents.
maintenir,maintain,Je maintiens une routine quotidienne pour améliorer mon français.
cheveu,hair,J'ai trouvé un cheveu sur ma chemise.
papier,paper,Le papier est recyclé pour fabriquer des cahiers.
sujet,subject,Le sujet du cours d'histoire était la Révolution française.
supposer,to suppose,Je suppose qu'il arrivera à l'heure.
tranquille,calm,Je me sens tranquille après une journée stressante.
épouser,to marry,Je vais épouser l'homme de mes rêves.
blanc,white,Le chat blanc traverse le jardin.
table,table,Je pose mon livre sur la table.
toute,all,"Toute la journée, je pense à toi."
dix,ten,J'ai dix pommes dans mon panier.
clé,key,J'ai perdu la clé de ma voiture.
agent,agent,L'agent de sécurité surveille l'entrée du bâtiment.
approcher,to approach,J'approche de la gare à pied.
sens,sense,Le sens de la vie est difficile à définir.
craindre,to fear,Je crains l'injustice dans notre société.
six,six,J'ai six pommes dans mon panier.
message,message,J'ai reçu un message intéressant aujourd'hui.
crier,to shout,Je crie quand j'entends un bruit étrange dans la nuit.
salle,room,La salle de classe est lumineuse et spacieuse.
inviter,to invite,Je vous invite à dîner ce soir.
effet,effect,J'ai constaté l'effet positif de ce traitement sur ma santé.
réfléchir,to reflect,Je réfléchis souvent avant de prendre une décision.
espèce,species,Cette espèce de plante est endémique à la région.
arranger,to arrange,J'arrange mon emploi du temps pour la semaine.
naître,to be born,Je nais à l'aube d'une nouvelle vie.
allô,hello,"Allô, qui est à l'appareil?"
passé,past,Je repense souvent à mon passé.
bois,drink,Je bois un verre d'eau chaque matin.
propos,remarks,Ses propos ont suscité un vif débat lors de la réunion.
camp,camp,Le camp de vacances est situé près de la forêt.
sorte,kind,Il existe plusieurs sortes de fromage dans ce marché.
hôtel,hotel,L'hôtel où nous avons séjourné était très confortable.
début,beginning,Le début de la conférence a été captivant.
souffrir,suffer,Je souffre d'une terrible migraine ce matin.
jambe,leg,Ma jambe me fait mal après la longue marche.
remercier,to thank,Je vous remercie pour votre aide.
choix,choice,Le choix de ce film était excellent.
sécurité,Security,La sécurité dans ce quartier est assurée par une équipe professionnelle.
baiser,to kiss,Je baise la joue de mon ami pour lui montrer mon affection.
avocat,Lawyer,L'avocat a défendu son client avec passion devant le tribunal.
attraper,to catch,J'attrape le ballon.
client,customer,Le client a demandé des conseils pour choisir le bon produit.
courant,current,Le courant de l'océan peut être dangereux pour les nageurs.
dépêcher,to hurry,Je me dépêche de terminer mes préparatifs avant l'arrivée des invités.
peuple,People,Le peuple se mobilise pour protéger l'environnement.
dame,lady,La dame porte un chapeau élégant.
dessus,on top / above,Je pose le livre dessus.
abandonner,to abandon,Je n'abandonne jamais mes rêves.
vérifier,verify,Je vérifie que la porte est bien fermée.
journal,newspaper,Je lis le journal tous les matins.
sérieux,serious,"Il reste toujours très sérieux, même dans les moments difficiles."
brûler,to burn,Je brûle le bois dans la cheminée chaque soir.
or,gold,Le roi portait une couronne en or.
loi,law,La loi garantit les droits de tous les citoyens.
fond,background,Le fond de cette peinture révèle un mystère fascinant.
gosse,kid,Ma gosse adore jouer au parc.
fric,cash,Je n'ai pas de fric pour sortir ce soir.
situation,situation,La situation actuelle demande notre attention.
euh,uh,"Euh, je ne suis pas sûr de comprendre la question."
sauf,except,"Tous les jours, sauf le dimanche, je vais au marché."
accident,accident,Il a eu un accident en voiture.
doute,doubt,J'ai un doute sur la véracité de cette information.
scène,scene,La scène du spectacle était illuminée par des projecteurs colorés.
soldat,soldier,Le soldat se prépare pour le combat.
amoureux,in love,Je suis amoureux de la vie.
assurer,to assure / to ensure,Je vous assure que tout sera prêt à temps.
preuve,Evidence,La police a présenté une preuve irréfutable lors du procès.
humain,human,La compassion est une qualité humaine essentielle.
mer,sea,Je vais à la mer cet été.
silence,silence,"Pendant la cérémonie, le silence était profond."
télé,TV,Je regarde la télé tous les soirs.
victime,victim,La victime a reçu de l'aide immédiatement après l'accident.
complètement,completely,Je suis complètement surpris par la nouvelle.
pute,whore,"Je trouve inacceptable de qualifier quelqu'un de ""pute"" sans raison valable."
calme,calm,Le lac est calme aujourd'hui.
derrière,behind,Le chat est derrière la chaise.
garde,guard,Je garde la maison pendant vos vacances.
meurtre,murder,Les enquêteurs examinent les indices liés au meurtre.
groupe,group,Le groupe d'amis se réunit chaque week-end pour discuter et rire ensemble.
crime,crime,Le crime a secoué la petite ville hier soir.
traiter,to treat,Je traite ce problème dès que possible.
doucement,slowly,Je conduis doucement sur la route pour profiter du paysage.
blesser,to hurt,Je ne veux pas te blesser.
colonel,colonel,Le colonel dirige son unité avec discipline.
certain,certain / sure,Je suis certain que tu comprendras l'explication.
secret,secret,Je garde toujours ce secret avec soin.
parole,word,Je te donne ma parole.
triste,sad,Je suis triste de devoir quitter mes amis ce soir.
honte,shame,Je ressens de la honte quand je repense à cet incident.
rouge,red,La voiture rouge passe devant la maison.
dégager,to clear,Je dégage la table après le repas.
soirée,evening,Je passe une agréable soirée avec mes amis.
dangereux,dangerous,Le chemin de montagne devient dangereux en hiver.
